CODEBUCH,,,,,,,,
,,,,,,,,
,,,,,,,,
Wert,Kommentar,,,,,,,
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).,,,,,,,
from,Voract,,,,,,,
to ,Mainact,,,,,,,
relationship,1 = war Voract auf Konzert  / 2 = auf Tour ,,,,,,,
tour,1= nationale / 2 = internationale ,,,,,,,
stops,Anzahl der Tourstops,,,,,,,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.,,,,,,,
id,Die ersten zwei Buchstaben jeweils eines Namens (Bruno Mars: Brma); bei einem Namen die ersten vier (Shakira: shak),,,,,,,; Zahlen zählen nicht als Name (maroon5: maro)
name,aktueller Künstlername,,,,,,,
listeners,aktuelle monatliche Hörer*innenzahl auf Spotify,,,,,,,
alive,"1 = Ja, 2 = Nein",,,,,,,
management,Name des aktuellen Managements,,,,,,,
nationality,Herkunft der Künstlerin/des Künstlers,,,,,,,
band,1 = Ja / 2 = Nein,,,,,,,
,,,,,,,,
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus..",,,,,,,
,,,,,,,,
Opener = Voract = Support act ,,,,,,,,
