id,name,listeners,alive,management,nationality,band
brma,Bruno Mars,130.665.724,1,Gorilla Management,USA,2
jubi,Justin Bieber,123.866.215,1,Bieber Family Office,Kanada,2
thwe,The Weeknd,112.866.215,1,SALXCO,Kanada,2
riha,Rihanna,110.748.263,1,Roc Nation,Barbados,2
shak,Shakira,102.993.750,1,Nadine Eliya,Kolumbien,2
mija,Michael Jackson,102.258.309,2,Frank DiLeo,USA,2
tasw,Taylor Swift,101.258.309,1,13 Management,USA,2
babu,Bad Bunny,98.421.585,1,Rimas Entertainment,Puerto Rico,2
laga,Lady Gaga,97.598.711,1,Artist Nation,USA,2
argr,Ariana Grande,93.663.942,1,Good World Management,USA,2
cold,Coldplay,92.150.715,1,Phil Harvey,UK,1
drak,Drake,91.647.790,1,Oliver El-Khatib,Kanada,2
kape,Katy Perry,91.381.795,1,Direct Management Group,,2
pibu,Pitbull,87.560.499,1,Mr 305,USA,2
dagu,David Guetta,87.128.013,1,Pierre-Georges Kieffer,Frankreich,2
edsh,Ed Sheeran,83.136.495,1,Grumpy Old Management,UK,2
caha,Calvin Harris,80.502.694,1,Three Six Zero,Schottland,2
maro,Maroon5,"79,434,140",1,Full Stop Management,USA,1
biei,Billie Eilish,"77,592,308",1,Sandbox Entertainment,USA,2
jbal,J Balvin,"71,824,821",1,Roc Nation,Kolumbien,2
emin,Eminem,"70,776,320",1,Goliath Artists,USA,2
kawe,Kanye West,"69,241,912",1,NA / John Monopoly,USA,2
olro,Olivia Rodrigo,"68,518,768",1,"NA / Josh Dembling, Mookie Singerman",USA,2
sia,Sia,"68,311,136",1,Crush Music,Australien,2
duli,Dua Lipa,"67,460,040",1,Radical22,UK,2
kela,Kendrick Lamar,"67,354,956",1,pgLang,USA,2
sza,Sza,"66,334,411",1,NA,USA,2
bley,Black Eyed Peas,"66,131,959",1,Grassroots Management,USA,1
daya,Daddy Yankee,"65,510,345",1,NA,Puerto Rico,2
hast,Harry Styles,"64,213,153",1,Full Stop Management,UK,2
lade,Lana Del Rey,"62,608,894",1,TaP Music,USA,2
sepa,Sean Paul ,"62,342,194",1,Dutty Rock Productions,Jamaica,2
beyo,Beyoncé,"61,233,48",1,Parkwood Entertainment,USA,2
zala,Zara Larsson,"61,172,908",1,Epic Records,Schweden,2
poma,Post Malone,"60,914,013",1,Republic Records,USA,2
saca,Sabrina Carpenter,"60,809,913",1,Island Records,USA,2
taim,Tame Impala,"59,693,027",1,Interscope Records,Australien,1
trsc,Travis Scott,"58,910,338",1,Cactus Jack Records,USA,2
chbr,Chris Brown,"58,576,954",1,RCA Records,USA,2
micy,Miley Cyrus,"57,715,404",1,Atlantic Records,USA,2
juti,Justin Timberlake,"56,692,573",1,RCA Records,USA,2
somb,Sombr,"56,490,387",1,Warner Records,USA,2
dofi,Dominic Fike,"56,490,387",1,Columbia Records,USA,2
mado,Madonna,"55,872,023",1,Warner Records,USA,2
bubo,Burna Boy,"55,272,197",1,Atlantic Records,Nigeria,2
lipa,Linkin Park,"55,114,620",1,Warner Records,USA,1
shme,Shawn Mendes,"54,762,317",1,Island Records,Kanada,2
sasm,Sam Smith,"54,462,150",1,Capitol Records,England,2
adel,Adele,"54,393,843",1,Columbia Records,England,2
